task;lang;emotion;ngrams;ngrams-embeddings;ngrams-lexicons;ngrams-lexicons-embeddings;lexicons;lexicons-embeddings;embeddings
;;;;;;;;;
EI-REG;ar;anger;(0.3, 0.36);;;;(0.0, -0.0);;
;;;;;;;;;
EI-REG;ar;fear;(0.21, 0.07);;;;(0.0, -0.0);;
;;;;;;;;;
EI-REG;ar;joy;(0.34, 0.25);;;;(0.0, 0.0);;
;;;;;;;;;
EI-REG;ar;sadness;(0.35, 0.23);;;;(0.0, nan);;
;;;;;;;;;
EI-REG;en;anger;(0.33, 0.62);(0.34, 0.66);(0.63, 0.72);(0.63, 0.69);(0.62, 0.61);(0.62, 0.63);(0.39, 0.55)
;;;;;;;;;
EI-REG;en;fear;(0.37, 0.64);(0.37, 0.66);(0.63, 0.71);(0.63, 0.71);(0.65, 0.62);(0.67, 0.67);(0.38, 0.51)
;;;;;;;;;
EI-REG;en;joy;(0.47, 0.65);(0.47, 0.67);(0.61, 0.7);(0.61, 0.71);(0.6, 0.6);(0.63, 0.67);(0.41, 0.59)
;;;;;;;;;
EI-REG;en;sadness;(0.45, 0.61);(0.45, 0.66);(0.68, 0.7);(0.68, 0.71);(0.64, 0.64);(0.69, 0.68);(0.39, 0.52)
;;;;;;;;;
EI-REG;es;anger;(0.12, 0.34);;(0.09, 0.28);;(-0.16, -0.18);;
;;;;;;;;;
EI-REG;es;fear;(0.28, 0.35);;(0.29, 0.3);;(0.03, 0.14);;
;;;;;;;;;
EI-REG;es;joy;(0.4, 0.5);;(0.42, 0.5);;(0.15, 0.13);;
;;;;;;;;;
EI-REG;es;sadness;(0.29, 0.36);;(0.35, 0.43);;(0.13, 0.21);;
